"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 07-Aug-2026","1W AGO 
 31-Jul-2026","1M AGO 
 08-Jul-2026","1Y AGO 
 07-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY CEMENT","15,442.10","0.14","15,432.10","15,451.00","15,292.90","-","15,420.95","15,442.10","15,207.75","14,873.50","-","18,188.60","13,534.80",1.15,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,062.75","0.54","6,018.80","6,072.65","6,015.95","-","6,030.30","6,062.75","5,939.10","5,711.75","5,828.05","6,584.65","5,614.00",4.23,4.03
"NIFTY GROWTH SECTORS 15","11,824.25","0.76","11,705.45","11,847.50","11,700.40","-","11,734.65","11,824.25","11,655.75","10,847.00","11,304.10","12,852.45","10,329.35",7.17,4.6
"NIFTY100 QUALITY 30","5,787.70","0.49","5,750.85","5,803.00","5,750.60","-","5,759.40","5,787.70","5,674.20","5,459.35","5,475.65","-","-",4.13,5.7
"NIFTY50 VALUE 20","12,130.60","0.05","12,085.85","12,157.10","12,083.50","-","12,124.00","12,130.60","11,980.35","11,867.00","12,360.35","13,684.40","11,528.60",0.31,-1.86
"NIFTY50 TR 2X LEVERAGE","18,917.50","-0.51","18,868.50","19,008.80","18,843.80","-","19,013.55","18,917.50","18,618.50","17,877.90","19,842.80","31,895.45","1,056.45",1.32,-4.66
"NIFTY50 PR 2X LEVERAGE","12,417.80","-0.54","12,385.65","12,477.75","12,369.40","-","12,485.75","12,417.80","12,244.60","11,791.55","13,340.85","31,895.45","1,056.45",0.84,-6.92
"NIFTY50 TR 1X INVERSE","175.25","0.26","175.45","175.55","174.80","-","174.80","175.25","176.65","180.15","171.15","31,895.45","161.80",-0.65,2.4
"NIFTY50 PR 1X INVERSE","215.90","0.28","216.20","216.35","215.40","-","215.30","215.90","217.45","221.45","208.50","31,895.45","197.80",-0.42,3.55
"NIFTY50 DIVIDEND POINTS","187.24","2.64","187.24","187.24","187.24","-","182.42","187.24","163.64","128.89","173.24","-","-",45.27,8.08
"NIFTY ALPHA 50","56,016.95","0.28","55,769.30","56,147.30","55,654.90","-","55,859.05","56,016.95","54,236.25","52,893.50","51,175.20","-","-",4.97,9.46
"NIFTY50 EQUAL WEIGHT","33,696.45","-0.18","33,639.65","33,767.20","33,596.00","-","33,756.40","33,696.45","33,391.95","32,395.55","30,882.75","-","-",1.97,9.11
"NIFTY100 EQUAL WEIGHT","35,604.85","0.05","35,529.05","35,664.75","35,508.45","-","35,587.50","35,604.85","35,174.50","33,997.70","32,072.10","-","-",2.7,11.02
"NIFTY100 LOW VOLATILITY 30","20,691.55","-0.10","20,660.65","20,758.30","20,649.05","-","20,712.00","20,691.55","20,570.85","19,864.70","19,816.30","-","-",2.25,4.42
"NIFTY200 QUALITY 30","21,020.40","0.70","20,865.45","21,065.95","20,864.80","-","20,874.45","21,020.40","20,613.65","19,776.05","20,226.70","-","-",4.43,3.92
"NIFTY ALPHA LOW-VOLATILITY 30","27,657.45","0.13","27,571.10","27,668.80","27,555.05","-","27,622.50","27,657.45","27,460.60","26,568.75","26,037.40","-","-",2.54,6.22
"NIFTY200 MOMENTUM 30","31,040.20","0.40","30,882.15","31,086.65","30,835.90","-","30,917.00","31,040.20","30,600.95","30,099.25","30,144.95","-","-",2.49,2.97
"NIFTY MIDCAP150 QUALITY 50","24,834.25","0.28","24,720.35","24,894.00","24,719.95","-","24,764.95","24,834.25","24,475.65","23,617.30","24,061.55","-","-",3.15,3.21
"NIFTY200 ALPHA 30","26,602.15","0.18","26,529.05","26,660.40","26,456.75","-","26,554.85","26,602.15","26,220.65","25,748.05","24,726.20","-","-",2.42,7.59
"NIFTY MIDCAP150 MOMENTUM 50","63,798.35","0.31","63,564.20","63,914.00","63,433.25","-","63,600.35","63,798.35","62,913.45","61,207.70","60,680.40","-","-",3.26,5.14
"NIFTY500 MOMENTUM 50","54,545.15","0.21","54,265.60","54,690.95","54,173.05","-","54,429.55","54,545.15","53,337.25","52,400.65","51,393.80","-","-",3.53,6.13
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","51,830.60","0.40","51,606.40","51,889.20","51,549.30","-","51,622.95","51,830.60","50,904.50","49,611.70","48,105.30","-","-",3.22,7.74
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","48,293.35","-0.12","48,316.85","48,499.35","48,196.25","-","48,349.15","48,293.35","46,941.50","46,237.75","44,883.35","-","-",2.41,7.6
"NIFTY TOP 10 EQUAL WEIGHT","8,765.40","0.09","8,729.45","8,788.50","8,729.45","-","8,757.80","8,765.40","8,662.40","8,455.45","9,398.25","-","-",1.4,-6.73
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23,331.70","0.11","23,274.25","23,399.45","23,259.25","-","23,306.80","23,331.70","23,277.35","22,709.65","21,846.15","-","-",1.1,6.8
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,781.25","0.64","20,614.70","20,784.75","20,614.65","-","20,649.30","20,781.25","20,544.15","20,059.05","20,158.35","-","-",2.24,3.09
"NIFTY HIGH BETA 50","4,510.10","-0.02","4,503.85","4,526.10","4,492.65","-","4,510.90","4,510.10","4,440.75","4,267.25","3,610.45","-","-",3.04,24.92
"NIFTY LOW VOLATILITY 50","25,206.55","-0.12","25,184.25","25,295.30","25,141.85","-","25,237.70","25,206.55","25,081.25","24,355.15","24,538.10","-","-",1.61,2.72
"NIFTY QUALITY LOW-VOLATILITY 30","17,019.45","0.09","16,968.85","17,087.40","16,968.40","-","17,004.55","17,019.45","16,963.85","16,388.70","16,772.20","-","-",2.09,1.47
"NIFTY SMALLCAP250 QUALITY 50","25,671.10","-0.49","25,784.15","25,832.25","25,631.95","-","25,796.50","25,671.10","25,373.20","24,570.60","26,610.25","-","-",2.31,-3.53
"NIFTY TOP 15 EQUAL WEIGHT","10,037.00","-0.07","9,986.70","10,055.00","9,982.05","-","10,044.25","10,037.00","9,946.65","9,632.60","10,067.35","-","-",1.6,-0.3
"NIFTY100 ALPHA 30","18,588.55","0.85","18,393.95","18,588.55","18,384.80","-","18,432.65","18,588.55","18,103.20","17,865.85","18,023.65","-","-",2.55,3.13
"NIFTY200 VALUE 30","15,358.45","0.46","15,245.25","15,358.45","15,227.15","-","15,288.00","15,358.45","15,131.20","14,822.50","12,718.40","-","-",1.57,20.76
"NIFTY500 EQUAL WEIGHT","15,181.25","0.03","15,157.30","15,205.25","15,143.20","-","15,176.55","15,181.25","14,932.65","14,571.95","13,992.40","-","-",2.14,8.5
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,377.20","0.10","41,299.00","41,431.10","41,234.40","-","41,337.30","41,377.20","40,728.75","40,539.15","40,789.95","-","-",0.99,1.44
"NIFTY500 VALUE 50","16,450.05","0.61","16,314.15","16,451.95","16,298.20","-","16,350.55","16,450.05","16,147.85","15,817.40","13,745.95","-","-",2.12,19.67
"NIFTY TOP 20 EQUAL WEIGHT","9,049.80","-0.10","9,013.15","9,070.55","9,009.30","-","9,058.45","9,049.80","8,974.80","8,612.10","8,930.80","-","-",2.83,1.33
"NIFTY500 QUALITY 50","20,025.95","0.22","19,978.80","20,099.05","19,970.70","-","19,982.60","20,025.95","19,758.85","19,335.45","18,922.55","-","-",1.95,5.83
"NIFTY500 LOW VOLATILITY 50","22,813.65","0.17","22,736.65","22,847.95","22,735.80","-","22,775.35","22,813.65","22,764.90","21,918.90","21,178.40","-","-",2.47,7.72
"NIFTY500 MULTIFACTOR MQVLV 50","31,604.20","0.23","31,502.80","31,614.25","31,461.20","-","31,532.30","31,604.20","31,290.85","30,546.95","30,058.35","-","-",1.82,5.14
"NIFTY50 USD","8,942.10","-0.24","8,964.40","8,964.40","8,897.40","-","8,964.42","8,942.06","8,854.92","8,659.28","-","-","-",0.45,-7.98
"NIFTY500 FLEXICAP QUALITY 30","10,241.45","0.10","10,222.20","10,283.45","10,218.85","-","10,230.90","10,241.45","10,141.50","9,627.00","-","-","-",4.32,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","44,109.30","0.19","43,995.55","44,154.25","43,956.35","-","44,024.75","44,109.30","43,344.85","42,878.40","-","-","-",1.99,0
"NIFTY COMMODITIES","9,991.65","0.35","9,937.00","9,992.10","9,929.80","-","9,956.40","9,991.65","9,861.75","9,760.75","8,707.85","10,569.65","8,560.60",0.85,14.74
"NIFTY INDIA CONSUMPTION","12,197.35","0.21","12,134.40","12,218.45","12,134.20","-","12,171.65","12,197.35","12,081.85","11,628.60","11,772.95","12,716.20","10,298.50",2.72,3.6
"NIFTY CPSE","6,484.65","0.03","6,481.75","6,510.85","6,461.45","-","6,482.90","6,484.65","6,530.05","6,614.75","6,326.00","7,593.35","6,101.90",-3.07,2.51
"NIFTY ENERGY","38,749.85","0.17","38,676.70","38,902.00","38,611.45","-","38,683.25","38,749.85","38,729.55","38,695.65","34,613.80","41,828.55","32,890.30",-1.12,11.95
"NIFTY INFRASTRUCTURE","9,504.15","0.54","9,425.45","9,504.15","9,425.45","-","9,453.30","9,504.15","9,409.25","9,249.95","8,996.00","9,792.60","8,426.65",0.53,5.65
"NIFTY100 LIQUID 15","7,724.15","-0.50","7,710.10","7,743.40","7,694.30","-","7,762.65","7,724.15","7,598.70","7,341.55","6,865.20","7,785.85","6,565.70",2.56,12.51
"NIFTY MIDCAP LIQUID 15","17,015.85","0.39","16,924.70","17,112.80","16,906.35","-","16,949.40","17,015.85","16,889.05","16,356.55","14,919.80","17,142.65","13,702.75",2.61,14.05
"NIFTY MNC","33,707.10","0.61","33,480.15","33,725.90","33,478.95","-","33,503.80","33,707.10","33,056.15","32,288.05","28,419.10","33,825.60","27,597.20",2.16,18.61
"NIFTY PSE","9,922.35","-0.15","9,924.30","9,964.70","9,886.15","-","9,937.40","9,922.35","9,941.90","9,804.25","9,540.90","10,839.05","9,168.35",-0.36,4
"NIFTY SERVICES SECTOR","31,265.20","-0.66","31,336.45","31,468.70","31,236.80","-","31,474.20","31,265.20","31,268.65","30,679.15","32,352.45","34,549.75","28,232.65",-0.23,-3.36
"NIFTY100 ESG SECTOR LEADERS","4,129.00","-0.35","4,127.85","4,142.55","4,120.35","-","4,143.60","4,129.00","4,113.75","4,018.00","4,119.85","-","-",0.6,0.22
"NIFTY INDIA DIGITAL","8,682.65","0.66","8,604.45","8,711.45","8,603.50","-","8,625.80","8,682.65","8,513.75","7,938.65","8,757.75","9,723.25","7,233.65",7.88,-0.86
"NIFTY100 ESG","5,132.10","-0.22","5,124.85","5,151.80","5,121.65","-","5,143.55","5,132.10","5,090.50","4,884.20","4,841.20","-","-",2.96,6.01
"NIFTY INDIA MANUFACTURING","16,662.45","0.45","16,553.65","16,662.85","16,551.65","-","16,587.60","16,662.45","16,328.90","15,740.10","14,129.30","-","-",4.07,17.93
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,801.90","-0.07","14,791.55","14,873.10","14,761.15","-","14,811.80","14,801.90","14,631.30","13,863.90","14,559.10","15,588.85","13,218.65",5.15,1.67
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","17,138.25","0.52","17,013.30","17,141.10","17,011.75","-","17,050.25","17,138.25","16,734.40","16,130.70","14,863.35","17,141.10","14,148.20",4.41,15.31
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,791.80","0.41","14,690.30","14,794.50","14,688.90","-","14,730.90","14,791.80","14,642.95","14,414.15","13,822.20","14,885.80","12,542.85",0.51,7.01
"NIFTY INDIA DEFENCE","9,732.15","0.68","9,674.30","9,755.05","9,648.60","-","9,666.10","9,732.15","9,331.15","9,324.05","7,800.05","9,784.60","7,184.90",2.63,24.77
"NIFTY INDIA TOURISM","8,162.85","0.55","8,096.45","8,175.80","8,065.40","-","8,118.20","8,162.85","7,872.85","7,950.55","9,052.30","9,452.55","6,502.65",-1.1,-9.83
"NIFTY CAPITAL MARKETS","5,204.50","-0.21","5,212.50","5,251.35","5,189.50","-","5,215.45","5,204.50","5,307.15","5,348.50","4,387.00","5,697.10","4,086.85",-3.8,18.63
"NIFTY EV & NEW AGE AUTOMOTIVE","3,394.70","1.52","3,337.40","3,395.75","3,337.40","-","3,344.00","3,394.70","3,258.55","3,082.70","2,888.00","-","-",8.29,17.55
"NIFTY INDIA NEW AGE CONSUMPTION","12,128.85","-","12,090.05","12,153.95","12,088.60","-","12,129.25","12,128.85","12,012.85","11,527.75","11,597.65","-","-",3.19,4.58
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","40,108.90","0.84","39,716.95","40,111.70","39,716.95","-","39,774.60","40,108.90","39,356.80","38,070.05","35,563.95","-","-",3.35,12.78
"NIFTY MOBILITY","23,996.30","0.82","23,711.25","24,000.10","23,711.05","-","23,801.05","23,996.30","23,404.85","22,236.00","20,816.40","-","-",5.3,15.28
"NIFTY100 ENHANCED ESG","5,166.65","-0.23","5,159.50","5,186.65","5,156.25","-","5,178.55","5,166.65","5,125.00","4,917.30","4,877.60","-","-",2.96,5.93
"NIFTY CORE HOUSING","16,016.85","0.02","15,997.05","16,017.60","15,914.70","-","16,014.40","16,016.85","15,859.55","15,427.10","16,022.10","16,610.25","12,788.20",1.48,-0.03
"NIFTY HOUSING","12,060.45","-0.28","12,071.00","12,087.05","12,027.00","-","12,094.25","12,060.45","11,999.75","11,872.55","11,387.05","12,244.25","10,358.70",-0.38,5.91
"NIFTY IPO","2,329.70","0.09","2,328.75","2,334.40","2,323.25","-","2,327.60","2,329.70","2,280.25","2,259.55","2,064.10","2,337.60","1,774.60",1.74,12.87
"NIFTY MIDSMALL INDIA CONSUMPTION","19,014.40","0.26","18,945.15","19,060.65","18,923.90","-","18,965.60","19,014.40","19,006.65","18,461.45","19,496.40","20,135.15","15,614.35",1.43,-2.47
"NIFTY NON-CYCLICAL CONSUMER","15,647.30","-0.28","15,656.10","15,712.45","15,583.75","-","15,692.00","15,647.30","15,526.20","15,180.95","16,122.40","16,983.45","13,311.10",1.06,-2.95
"NIFTY RURAL","15,884.60","0.02","15,822.75","15,895.25","15,801.20","-","15,882.15","15,884.60","15,736.85","15,182.40","14,826.05","16,396.40","13,751.35",2.17,7.14
"NIFTY SHARIAH 25","8,225.80","0.83","8,153.40","8,252.80","8,153.10","-","8,158.40","8,225.80","8,126.85","7,724.75","8,055.10","8,562.10","7,196.60",4.49,2.12
"NIFTY TRANSPORTATION & LOGISTICS","26,871.95","0.97","26,516.75","26,877.05","26,515.20","-","26,612.85","26,871.95","26,149.70","24,816.70","23,398.30","26,877.05","21,355.40",5.74,14.85
"NIFTY50 SHARIAH","4,435.10","0.64","4,398.95","4,444.70","4,396.10","-","4,407.00","4,435.10","4,371.85","4,174.75","4,538.90","4,982.45","4,082.25",4.77,-2.29
"NIFTY500 SHARIAH","7,162.05","0.55","7,117.45","7,171.25","7,116.10","-","7,122.95","7,162.05","7,031.80","6,791.90","6,936.10","7,291.95","6,162.95",3.84,3.26
"NIFTY SME EMERGE","14,255.10","0.24","14,254.70","14,305.40","14,219.60","-","14,221.25","14,255.10","13,977.30","13,828.90","14,793.38","17,223.65","11,015.55",1.34,-3.64
"NIFTY INDIA INTERNET","1,385.35","-0.44","1,385.60","1,391.30","1,382.90","-","1,391.45","1,385.35","1,355.75","1,313.45","-","1,501.90","1,056.45",4.23,0
"NIFTY WAVES","1,932.55","-0.23","1,934.80","1,946.55","1,928.45","-","1,937.10","1,932.55","1,939.85","1,929.25","2,128.17","2,789.80","1,581.05",-1.73,-9.19
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12,223.30","0.23","12,178.85","12,227.05","12,177.90","-","12,194.80","12,223.30","12,100.50","12,061.85","-","12,549.95","9,210.40",-0.62,0
"NIFTY INDIA RAILWAYS PSU","2,904.15","-0.53","2,916.95","2,924.60","2,903.65","-","2,919.70","2,904.15","2,868.50","2,795.70","3,505.16","4,005.50","2,744.60",1.09,-17.15
"NIFTY CONGLOMERATE 50","15,537.75","-0.25","15,504.95","15,561.80","15,464.85","-","15,577.05","15,537.75","15,338.70","14,597.15","13,907.65","15,692.30","12,226.80",4.43,11.72
"NIFTY 8-13 YR G-SEC","3,062.15","-","3,062.46","3,062.46","3,058.41","-","3,061.90","3,062.71","3,046.46","3,043.46","2,933.61","-","-",0.25,4.38
"NIFTY 10 YR BENCHMARK G-SEC","2,682.86","-","2,683.49","2,683.49","2,679.14","-","2,682.99","2,683.75","2,668.64","2,669.49","2,598.63","-","-",0.04,3.24
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","878.95","-0.02","879.16","879.16","877.71","-","879.16","879.25","875.39","879.36","909.89","-","-",-0.53,-3.4
"NIFTY 4-8 YR G-SEC INDEX","3,347.28","-0.05","3,349.74","3,349.74","3,345.54","-","3,349.14","3,347.29","3,332.96","3,324.17","3,176.03","-","-",0.46,5.39
"NIFTY 11-15 YR G-SEC INDEX","3,388.72","0.09","3,386.11","3,389.43","3,380.73","-","3,385.47","3,387.91","3,375.44","3,370.27","3,216.82","-","-",0.23,5.34
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,574.80","0.37","3,562.11","3,575.43","3,551.10","-","3,561.39","3,576.39","3,549.48","3,576.43","3,474.10","-","-",-0.54,2.9
"NIFTY COMPOSITE G-SEC INDEX","3,153.39","0.07","3,151.55","3,153.59","3,146.48","-","3,150.97","3,154.25","3,136.21","3,136.52","3,020.06","-","-",0.13,4.41
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,613.07","0.02","1,613.03","1,613.07","1,613.00","-","1,612.72","1,612.66","1,609.33","1,604.94","1,539.45","-","-",0.29,4.78
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,466.75","0.01","1,466.75","1,466.75","1,466.75","-","1,466.47","1,466.23","1,462.54","1,459.38","1,404.24","-","-",0.12,4.45
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,333.73","0.01","1,333.73","1,333.73","1,333.73","-","1,333.48","1,333.72","1,331.56","1,327.52","1,280.75","-","-",0.08,4.14
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,292.12","0.01","1,292.13","1,292.13","1,292.12","-","1,291.88","1,292.22","1,290.74","1,287.11","1,244.53","-","-",0.02,3.82
