SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ADANIPORTS","1,695.00","1,702.30","1,676.70","1,695.00","1,693.50","-","-1.5","-0.09","2387389","402.85","1,891.10","1,290.50","-5.48","25.87"
"SAIL","176.60","176.88","174.61","176.74","176.58","-","-0.16","-0.09","9569899","168.38","209.70","118.10","8.99","43.14"
"OBEROIRLTY","1,780.00","1,792.20","1,770.50","1,777.00","1,775.00","-","-2","-0.11","171271","30.50","1,986.10","1,391.20","-5.09","10.21"
"BANKBARODA","249.99","251.25","248.02","251.00","250.70","-","-0.3","-0.12","7479873","186.88","325.50","230.81","4.26","3.57"
"LT","4,040.10","4,062.00","4,030.00","4,061.80","4,056.00","-","-5.8","-0.14","901290","364.63","4,440.00","3,288.10","4.21","11.38"
"LICHSGFIN","507.35","507.90","502.70","505.00","504.25","-","-0.75","-0.15","1604722","81.03","598.20","458.90","-4.97","-12.82"
"MUTHOOTFIN","2,900.00","2,914.00","2,870.50","2,894.20","2,890.00","-","-4.2","-0.15","813420","235.12","4,149.50","2,476.60","-6.27","9.69"
"SBICARD","660.00","666.70","653.65","660.00","659.00","-","-1","-0.15","1453309","95.81","965.00","565.45","12.63","-17.26"
"GODFRYPHLP","2,293.00","2,307.00","2,271.00","2,290.00","2,286.00","-","-4","-0.17","232091","53.07","3,947.00","1,832.10","9.77","-77.14"
"HAL","4,925.00","4,975.00","4,876.00","4,920.00","4,910.00","-","-10","-0.2","1083102","532.51","4,978.00","3,479.10","12.49","7.9"
"ADANIENT","3,025.90","3,039.50","3,004.50","3,026.00","3,020.00","-","-6","-0.2","788881","238.45","3,245.00","1,753.00","-0.88","34.23"
"MAXHEALTH","1,070.00","1,084.30","1,067.00","1,072.40","1,070.00","-","-2.4","-0.22","1189799","127.55","1,301.70","903.00","-1.36","-15.48"
"CDSL","1,331.00","1,334.40","1,324.10","1,331.00","1,328.00","-","-3","-0.23","571095","75.85","1,673.70","1,116.30","1.27","-15.12"
"INOXWIND","78.30","78.70","76.85","78.20","78.00","-","-0.2","-0.26","9963031","77.45","159.30","73.81","-5.71","-46.44"
"OIL","445.25","451.85","437.10","444.00","442.80","-","-1.2","-0.27","4232298","188.13","531.00","384.60","2.89","2.46"
"SIEMENS","3,955.10","3,984.50","3,921.00","3,952.00","3,940.10","-","-11.9","-0.3","221514","87.48","4,073.80","2,826.00","14.34","26.41"
"SUNPHARMA","1,955.00","1,957.00","1,925.10","1,951.00","1,945.00","-","-6","-0.31","2425268","469.99","2,046.90","1,548.00","3.01","21.68"
"MARUTI","13,811.00","14,038.00","13,811.00","14,080.00","14,037.00","-","97","0.7","324104","452.72","17,370.00","12,201.00","0.62","11.12"
"SBILIFE","1,861.50","1,871.80","1,852.80","1,861.50","1,855.50","-","-6","-0.32","390231","72.61","2,132.00","1,700.40","3.72","-0.3"
"DABUR","410.95","413.45","408.50","411.30","410.00","-","-1.3","-0.32","1749544","71.83","577.00","403.35","-6.08","-20.73"
"APOLLOHOSP","9,000.00","9,000.00","8,922.00","8,974.50","8,945.00","-","-29.5","-0.33","273543","245.14","9,050.00","6,696.50","2.19","24.76"
"PAGEIND","39,890.00","40,240.00","39,735.00","40,050.00","39,900.00","-","-150","-0.37","10770","43.10","47,310.00","29,805.00","-3.66","-12.81"
"BDL","1,299.00","1,311.90","1,288.50","1,299.00","1,294.00","-","-5","-0.38","872088","113.36","1,654.00","1,086.00","-3.25","-17.47"
"SRF","2,624.90","2,640.60","2,610.00","2,624.90","2,615.00","-","-9.9","-0.38","262181","68.71","3,210.00","2,355.00","-3.49","-9.95"
"ETERNAL","314.00","316.90","313.15","316.25","315.00","-","-1.25","-0.4","12763812","401.72","368.45","212.60","9.87","4.39"
"HDFCBANK","733.00","736.00","728.20","734.30","731.00","-","-3.3","-0.45","19382042","1,419.21","1,020.50","726.65","-9.79","-63.37"
"VBL","444.05","447.35","439.55","444.00","442.00","-","-2","-0.45","2472286","109.31","555.80","381.00","-6.86","-12.07"
"HDFCLIFE","542.50","544.95","537.50","542.50","540.00","-","-2.5","-0.46","1413369","76.48","815.00","530.50","-2.83","-28.54"
"MOTILALOFS","869.95","875.70","858.05","874.00","870.00","-","-4","-0.46","891154","77.15","1,097.10","614.90","-4.35","-5.21"
"HINDPETRO","392.95","395.45","392.00","395.00","393.05","-","-1.95","-0.49","5095295","200.47","508.45","316.20","1.6","-2.32"
"HYUNDAI","2,209.10","2,215.20","2,196.00","2,212.00","2,200.50","-","-11.5","-0.52","279115","61.57","2,890.00","1,658.00","14.79","2.82"
"RBLBANK","390.00","390.25","384.15","392.00","389.80","-","-2.2","-0.56","1693465","65.51","392.70","243.25","8.34","45.94"
"GODREJPROP","2,081.00","2,108.60","2,062.30","2,081.90","2,070.00","-","-11.9","-0.57","486095","101.19","2,352.00","1,434.00","4.57","1.28"
"AMBUJACEM","438.00","438.00","431.80","436.50","434.00","-","-2.5","-0.57","2026621","87.90","606.85","394.00","3.06","-26.73"
"MAZDOCK","2,530.00","2,558.00","2,496.90","2,530.00","2,514.90","-","-15.1","-0.6","1078657","272.21","3,061.40","2,057.40","2.62","-9.7"
"IRFC","89.29","89.47","88.57","89.29","88.75","-","-0.54","-0.6","5732015","50.99","137.17","86.02","1.43","-30.26"
"PNBHOUSING","1,150.00","1,151.80","1,119.50","1,150.00","1,143.00","-","-7","-0.61","1476731","167.63","1,167.00","729.60","6.6","50.65"
"JSWSTEEL","1,303.80","1,309.90","1,288.50","1,307.90","1,299.50","-","-8.4","-0.64","720726","93.55","1,335.00","1,022.30","6.56","22.04"
"TORNTPHARM","4,956.00","4,987.50","4,901.00","4,956.00","4,924.00","-","-32","-0.65","394462","194.61","5,250.00","3,480.60","1.18","36.9"
"INDHOTEL","735.95","738.75","728.75","736.00","731.00","-","-5","-0.68","1606078","117.69","811.95","565.00","1.12","-1.52"
"RVNL","235.00","236.76","233.01","235.00","233.38","-","-1.62","-0.69","4691820","110.07","400.70","220.16","3.85","-32.65"
"TATACONSUM","1,082.20","1,092.00","1,078.00","1,090.00","1,082.30","-","-7.7","-0.71","879013","95.19","1,282.70","1,007.20","-0.69","2.8"
"NTPC","345.00","347.00","342.50","345.00","342.50","-","-2.5","-0.72","7012048","241.54","414.40","315.55","-1.78","3.87"
"BHEL","406.95","418.70","402.20","408.15","405.20","-","-2.95","-0.72","9754089","401.13","446.50","205.12","7.25","77.74"
"VMM","109.52","110.08","107.93","109.52","108.72","-","-0.8","-0.73","7431528","80.68","157.60","98.77","-6.2","-24.79"
"ASIANPAINT","2,755.00","2,755.00","2,695.00","2,755.00","2,735.00","-","-20","-0.73","1067986","290.05","2,985.70","2,115.00","2.59","9.12"
"NHPC","77.50","77.69","76.81","77.50","76.92","-","-0.58","-0.75","7065480","54.47","89.22","71.62","-2.4","-7.78"
"PIIND","2,778.40","2,796.60","2,751.20","2,796.00","2,774.60","-","-11.4","-0.41","85234","23.60","4,128.10","2,527.00","7.86","-31.05"
"DMART","3,945.00","3,948.40","3,885.50","3,931.20","3,900.00","-","-31.2","-0.79","374241","146.21","4,949.50","3,529.00","-3.43","-8.53"
"KOTAKBANK","393.00","394.85","387.75","394.00","390.75","-","-3.25","-0.82","7315232","285.43","453.20","345.50","5.58","-80.39"
"BPCL","320.90","323.55","317.10","323.70","321.00","-","-2.7","-0.83","5431740","174.13","391.65","266.60","5.75","3.43"
"UNITDSPR","1,521.20","1,529.80","1,512.40","1,525.00","1,512.40","-","-12.6","-0.83","324797","49.36","1,548.00","1,210.80","7.35","17.24"
"IDFCFIRSTB","85.00","85.14","84.35","85.35","84.62","-","-0.48","-0.56","9539702","80.91","88.76","58.08","8.74","22.23"
"CIPLA","1,477.00","1,477.00","1,462.10","1,477.00","1,463.80","-","-13.2","-0.89","765193","112.32","1,673.00","1,165.70","2.23","-1.82"
"DIVISLAB","8,285.50","8,334.00","8,233.50","8,349.00","8,275.00","-","-74","-0.89","256657","212.43","8,585.00","5,636.50","22.5","34.96"
"LUPIN","2,410.00","2,410.00","2,346.00","2,385.00","2,363.50","-","-21.5","-0.9","2046981","487.92","2,529.50","1,836.80","-3.88","21.57"
"SHREECEM","26,355.00","26,355.00","26,010.00","26,245.00","26,010.00","-","-235","-0.9","10742","28.10","31,920.00","22,550.00","0.39","-15.15"
"PHOENIXLTD","1,901.50","1,917.80","1,893.90","1,913.00","1,895.50","-","-17.5","-0.91","291623","55.39","2,169.80","1,402.50","-6.28","30.11"
"TATASTEEL","189.41","189.69","186.75","189.30","187.55","-","-1.75","-0.92","9924021","186.73","224.40","153.05","-0.35","17.46"
